method,rep,t,ess
pf_ce,2,100,186.199
pf_ce,2,101,161.332
pf_ce,2,102,178.196
pf_ce,2,103,73.8718
pf_ce,2,104,184.442
pf_ce,2,105,7.28728
pf_ce,2,106,68.7767
pf_ce,2,107,42.7439
pf_ce,2,108,154.709
pf_ce,2,109,139.198
pf_ce,2,110,217.303
pf_ce,2,111,206.465
pf_ce,2,112,63.6868
pf_ce,2,113,164.229
pf_ce,2,114,70.1748
pf_ce,2,115,164.34
pf_ce,2,116,179.491
pf_ce,2,117,207.459
pf_ce,2,118,227.102
pf_ce,2,119,184.417
pf_ce,2,120,247.989
pf_ce,2,121,232.555
pf_ce,2,122,50.4244
pf_ce,2,123,42.5577
pf_ce,2,124,146.304
pf_ce,2,125,158.869
pf_ce,2,126,202.875
pf_ce,2,127,196.701
pf_ce,2,128,171.195
pf_ce,2,129,10.6048
pf_ce,2,130,168.589
pf_ce,2,131,203.391
pf_ce,2,132,174.164
pf_ce,2,133,142.122
pf_ce,2,134,228.592
pf_ce,2,135,252.022
pf_ce,2,136,170.12
pf_ce,2,137,77.2055
pf_ce,2,138,80.7696
pf_ce,2,139,154.105
pf_ce,2,140,21.9542
pf_ce,2,141,169.986
pf_ce,2,142,62.3844
pf_ce,2,143,89.3056
pf_ce,2,144,178.752
pf_ce,2,145,207.242
pf_ce,2,146,181.929
pf_ce,2,147,264.89
pf_ce,2,148,4.55583
pf_ce,2,149,126.679
copf_ce,2,0,4.3811
copf_ce,2,1,432.263
copf_ce,2,2,363.701
copf_ce,2,3,294.133
copf_ce,2,4,175.335
copf_ce,2,5,422.044
copf_ce,2,6,269.608
copf_ce,2,7,203.833
copf_ce,2,8,339.199
copf_ce,2,9,267.792
copf_ce,2,10,218.399
copf_ce,2,11,345.934
copf_ce,2,12,256.097
copf_ce,2,13,177.552
copf_ce,2,14,380.065
copf_ce,2,15,304.35
copf_ce,2,16,239.139
copf_ce,2,17,416.674
copf_ce,2,18,346.886
copf_ce,2,19,258.444
copf_ce,2,20,189.502
copf_ce,2,21,369.62
copf_ce,2,22,205.464
copf_ce,2,23,324.399
copf_ce,2,24,183.311
copf_ce,2,25,329.538
copf_ce,2,26,248.746
copf_ce,2,27,325.99
copf_ce,2,28,234.45
copf_ce,2,29,313.112
copf_ce,2,30,219.31
copf_ce,2,31,409.374
copf_ce,2,32,332.611
copf_ce,2,33,258.885
copf_ce,2,34,198.728
copf_ce,2,35,325.463
copf_ce,2,36,254.577
copf_ce,2,37,421.885
copf_ce,2,38,262.217
copf_ce,2,39,173.687
copf_ce,2,40,371.083
copf_ce,2,41,253.718
copf_ce,2,42,385.252
copf_ce,2,43,202.739
copf_ce,2,44,324.552
copf_ce,2,45,222.826
copf_ce,2,46,366.127
copf_ce,2,47,290.985
copf_ce,2,48,229.707
copf_ce,2,49,402.188
copf_ce,2,50,290.444
copf_ce,2,51,165.774
copf_ce,2,52,365.104
copf_ce,2,53,278.427
copf_ce,2,54,207.55
copf_ce,2,55,288.183
copf_ce,2,56,185.676
copf_ce,2,57,357.109
copf_ce,2,58,260.795
copf_ce,2,59,194.644
copf_ce,2,60,219.226
copf_ce,2,61,275.104
copf_ce,2,62,141.668
copf_ce,2,63,281.968
copf_ce,2,64,191.387
copf_ce,2,65,288.806
copf_ce,2,66,128.283
copf_ce,2,67,242.692
copf_ce,2,68,282.124
copf_ce,2,69,159.074
copf_ce,2,70,188.036
copf_ce,2,71,312.863
copf_ce,2,72,143.328
copf_ce,2,73,216.329
copf_ce,2,74,232.527
copf_ce,2,75,246.215
copf_ce,2,76,298.465
copf_ce,2,77,195.932
copf_ce,2,78,382.831
copf_ce,2,79,298.835
copf_ce,2,80,216.139
